num_facts,seed,delta_coverage_true_fact,delta_coverage_answer_exact,visible_minus_masked_true_fact
8,20260840,0.11132812500000006,0.12656249999999997,0.22304687499999998
8,20260841,0.1671875,0.19375000000000003,0.168359375
8,20260842,0.11718749999999994,0.11875000000000002,0.209375
16,20260840,0.12890625,0.1484375,0.183984375
16,20260841,0.17539062500000002,0.1734375,0.13554687499999998
16,20260842,0.1359375,0.14921875,0.203515625
