num_facts,seed,hard_eval_answer_exact,ste_eval_answer_exact,delta_ste_minus_hard_eval_answer_exact,hard_eval_answer_ce,ste_eval_answer_ce,delta_ste_minus_hard_eval_answer_ce,hard_eval_retrieval_top1,ste_eval_retrieval_top1,delta_ste_minus_hard_eval_retrieval_top1,hard_eval_retrieval_margin,ste_eval_retrieval_margin,delta_ste_minus_hard_eval_retrieval_margin,hard_train_loss,ste_train_loss,delta_ste_minus_hard_train_loss,hard_train_retrieval_loss,ste_train_retrieval_loss,delta_ste_minus_hard_train_retrieval_loss,hard_train_wall_time_sec,ste_train_wall_time_sec,delta_ste_minus_hard_train_wall_time_sec,hard_parameters,ste_parameters,delta_ste_minus_hard_parameters,hard_peak_vram_mb,ste_peak_vram_mb,delta_ste_minus_hard_peak_vram_mb
4,20260850,0.2796875,0.9359375,0.65625,5.048989504575729,0.9254969561472535,-4.123492548428476,0.296875,0.9359375,0.6390625,-1.432611445337534,1.9478771939873696,3.380488639324904,6.025487899780273,1.8026355504989624,-4.222852349281311,2.584421157836914,0.8455864191055298,-1.7388347387313843,30.00396329999967,52.06165509999846,22.057691799998793,106465.0,106465.0,0.0,0.0,0.0,0.0
4,20260851,0.2859375,0.859375,0.5734375,4.944899481534958,1.6436588119715452,-3.3012406695634127,0.3265625,0.859375,0.5328125,-1.3113254941999912,1.533178699016571,2.8445041932165624,5.248379707336426,2.4115333557128906,-2.836846351623535,2.901825428009033,0.9018372893333435,-1.9999881386756897,31.519734499999686,51.46205840000039,19.9423239000007,106465.0,106465.0,0.0,0.0,0.0,0.0
4,20260852,0.2234375,0.965625,0.7421875,5.372465133666992,0.6123438281007111,-4.760121305566281,0.246875,0.965625,0.71875,-1.3687704429030418,1.872023206949234,3.240793649852276,4.217170715332031,0.012188662774860859,-4.20498205255717,1.6829791069030762,0.22212941944599152,-1.4608496874570847,30.5201219999999,50.924917399999686,20.404795399999784,106465.0,106465.0,0.0,0.0,0.0,0.0
8,20260850,0.140625,0.7921875,0.6515625,5.558304309844971,2.353413509577513,-3.204890800267458,0.1734375,0.7953125,0.621875,-3.2937498539686203,1.015688930079341,4.309438784047961,6.312464714050293,1.8847541809082031,-4.42771053314209,3.5909900665283203,0.9480635523796082,-2.642926514148712,39.724926900000355,58.42722210000102,18.702295200000663,106465.0,106465.0,0.0,0.0,0.0,0.0
8,20260851,0.0828125,0.7171875,0.634375,5.710055327415466,2.9252152144908905,-2.7848401129245755,0.109375,0.7234375,0.6140625,-5.545079880952835,0.6465403154492378,6.191620196402074,5.619219779968262,1.0202912092208862,-4.5989285707473755,6.392468452453613,0.8565673232078552,-5.535901129245758,40.58131989999856,62.46652310000172,21.88520320000316,106465.0,106465.0,0.0,0.0,0.0,0.0
8,20260852,0.1109375,0.8625,0.7515625,5.821399903297424,1.685032944008708,-4.136366959288716,0.1421875,0.8625,0.7203125,-2.4587007820606233,1.4018925286829471,3.86059331074357,5.70721960067749,1.0473482608795166,-4.659871339797974,3.3428475856781006,0.45444390177726746,-2.888403683900833,43.00444609999977,63.271650200000295,20.267204100000527,106465.0,106465.0,0.0,0.0,0.0,0.0
16,20260850,0.034375,0.6828125,0.6484375,5.866762089729309,3.344652956724167,-2.522109133005142,0.053125,0.6859375,0.6328125,-7.574511694908142,0.8102546146139502,8.384766309522092,5.897874355316162,2.6013734340667725,-3.2965009212493896,8.120869636535645,0.8937295079231262,-7.227140128612518,57.58135360000051,83.06361560000005,25.482261999999537,106465.0,106465.0,0.0,0.0,0.0,0.0
16,20260851,0.0234375,0.6375,0.6140625,5.77728818655014,3.3869559019804,-2.39033228456974,0.065625,0.646875,0.5812499999999999,-13.007029163837434,0.7169740464538336,13.724003210291267,5.472447872161865,3.147815465927124,-2.324632406234741,14.944537162780762,1.8167680501937866,-13.127769112586975,58.26533560000098,89.59705779999967,31.331722199998694,106465.0,106465.0,0.0,0.0,0.0,0.0
16,20260852,0.0265625,0.678125,0.6515624999999999,5.772926640510559,3.1255423724651337,-2.6473842680454256,0.0484375,0.6859375,0.6375,-8.672165715694428,0.7301655549556016,9.402331270650029,6.219561576843262,3.1181483268737793,-3.1014132499694824,10.43918514251709,1.3046917915344238,-9.134493350982666,58.73931359999915,89.48567300000104,30.746359400001893,106465.0,106465.0,0.0,0.0,0.0,0.0
